case,satellite_gain_dbi,user_gain_dbi,user_index,satellite_index,legacy_formula_rate_bps,standard_friis_rate_bps,legacy_formula_snr_db,standard_friis_snr_db
sat60_user50,60.0,50.0,14,1,4345067.027589211,16334014.575002145,21.771135883702826,81.95047225042194
sat60_user50,60.0,50.0,15,0,3138980.9024967016,15112818.711458212,15.631638117843739,75.82352907273277
sat60_user50,60.0,50.0,15,1,2514824.545844311,14459931.662724208,12.372826290359695,72.5478858539785
sat60_user50,60.0,50.0,16,0,4438176.029922081,16427563.074012019,22.24122396312234,82.41982065744969
sat60_user50,60.0,50.0,16,1,1174231.0122183517,12917558.896957107,4.5979598002565485,64.8095435440764
sat60_user50,60.0,50.0,17,0,3812236.8933645375,15800806.976405885,19.07319695516928,79.27528087526471
sat60_user50,60.0,50.0,17,1,4491592.787649559,16482576.472736148,22.51077571117785,82.69583204530463
sat60_user50,60.0,50.0,18,0,1735583.1330138554,13607015.373911966,8.079592420014556,68.26866233645357
sat60_user50,60.0,50.0,18,1,3278638.0343649243,15254750.348979164,16.34997799278123,76.53562376037306
sat60_user50,60.0,50.0,19,0,3244936.5261926875,15220080.79548766,16.176894382517677,76.36168083081205
sat60_user50,60.0,50.0,19,1,4003504.944836342,15988139.233150365,20.04346576069556,80.21515802584274
sat60_user50,60.0,50.0,20,0,2587966.252172516,14536889.202930884,12.760118907039828,72.93399467443811
sat60_user50,60.0,50.0,20,1,3276080.0883069457,15253212.153901715,16.336846493564913,76.52790637924329
sat60_user50,60.0,50.0,21,0,1205397.009394316,12952593.714643106,4.8072787534939545,64.98531911792887
sat60_user50,60.0,50.0,21,1,4269921.894226605,16264752.042482892,21.39149985282595,81.60297058371395
sat60_user50,60.0,50.0,22,0,570724.9030932831,11933569.560228348,-0.29889788240170084,59.87270207739818
sat60_user50,60.0,50.0,22,1,2041704.3292534254,13951855.128994752,9.81223491850616,69.99878104868003
sat60_user50,60.0,50.0,23,0,4032684.05203792,16017815.30296436,20.191287197906767,80.36404781335949
sat60_user50,60.0,50.0,23,1,3821110.751844672,15805579.838362992,19.11826685812463,79.29922711911776
sat60_user50,60.0,50.0,24,0,4348623.058449457,16339492.938828155,21.789095499595874,81.97795811457664
sat60_user50,60.0,50.0,24,1,3512631.0063128173,15491468.80961701,17.54773341123306,77.72327973643566
sat60_user50,60.0,50.0,25,0,4370280.518007827,16363884.716313334,21.898465303494792,82.10033572651854
sat60_user50,60.0,50.0,25,1,4487549.511944851,16478239.516131112,22.490375863031723,82.67407281138723
sat60_user50,60.0,50.0,26,0,3285379.919989303,15264903.064374052,16.38458390775799,76.58656162601916
sat60_user50,60.0,50.0,26,1,2058612.3018476535,13970946.7104268,9.905828052495654,70.09456670275154
